かなづかい,仮名遣い
かなづち,金槌
かならず,必ず
かならずしも,必ずしも
かなり
かなわない
かにゅう,加入
かね,金
かね,鐘
かねつ,加熱
かねて,予ねて
かねもち,金持ち
かねる,兼ねる
かのう,可能
かのじょ,彼女
カバー
かばう
かばん
かはんすう,過半数
かび
かびん,花瓶
かぶ,株
かぶしき,株式
かぶせる,被せる
かぶる,被る
かぶれる
かふん,花粉
かべ,壁
かへい,貨幣
かまいません,釜
かまいません
かまう　,構う　
かまえ,構え
かまえる,構える
がまん,我慢
かみ,上
かみ,神
かみ,紙
かみ,髪
かみ,加味
かみくず,紙屑
かみさま,神様
かみそり,剃刀
かみつ,過密
かみなり,雷
かみのけ,髪の毛
かみきる,噛み切る
かむ,噛む
ガム
カムバック
カメラ
カメラマン
かもく,科目
かもしれない
かもつ,貨物
かゆい,痒い
かゆ,粥
かよう,通う
かよう,か,火曜,火
かよう,歌謡
から,空
から,殻
がら,柄
カラー
からい,辛い
からかう
ガラス
からだ,体
からだつき,体付き
からっぽ,空っぽ
からむ,絡む
かり,借り
かり,狩
かり,仮
かりる,借りる
かる,刈る
かるい,軽い
かるた
カルテ
かれ,彼
カレー
かれら,彼等
かれる,枯れる
かれる,涸れる
カレンダー
ガレージ
かろう,過労
かろうじて
カロリー
かわ,川,河
かわ,皮,革
かわいい
かわいがる
かわいそう
かわいらしい
かわかす,乾かす
かわく,乾く,渇く
かわす,交わす
かわせ,為替
かわら,瓦
かわり,代わり
かわる,代わる,変わる
かわるがわる,代わる代わる
かん,缶
かん,官
かん,管
かん,勘
がん,癌
かんい,簡易
かんがい,感慨
かんがえ,考え
かんがえる,考える
がんか,眼科
かんかく,感覚
かんかく,間隔
かんき,換気
かんきゃく,観客
がんきゅう,眼球
かんきょう,環境
がんぐ,玩具
かんけい,関係
かんげい,歓迎
かんげき,感激
かんけつ,簡潔
かんげん,還元
かんご,看護
かんご,漢語
がんこ,頑固
かんこう,観光
かんこう,刊行
かんこう,慣行
かんこく,勧告
かんごふ,看護婦
かんさい,関西
かんさつ,観察
かんさん,換算
かんし,監視
かんじ,感じ
かんじ,漢字
がんじつ,元日
かんしゃ,感謝
かんじゃ,患者
かんしゅう,慣習
かんしゅう,観衆
がんしょ,願書
かんしょう,干渉
かんしょう,鑑賞
かんじょう,勘定
かんじょう,感情
がんじょう,頑丈
かんしょく,感触
かんじる,かんずる,感じる,感ずる
かんしん,感心
かんしん,関心
かんじん,肝心,肝腎
かんする,関する
かんせい,完成
かんせい,歓声
かんぜい,関税
がんせき,岩石
かんせつ,間接
かんせん,感染
かんせん,幹線
かんぜん,完全
かんそ,簡素
かんそう,乾燥
かんそう,感想
かんそく,観測
かんたい,寒帯
かんたん,簡単
かんちょう,官庁
かんちがい,勘違い
かんづめ,缶詰
かんてん,観点
かんでんち,乾電池
かんど,感度
かんとう,関東
かんどう,感動
かんとく,監督
カンニング
かんねん,観念
がんねん,元年
かんぱい,乾杯
がんばる,頑張る
かんばん,看板
かんびょう,看病
かんぶ,幹部
かんぺき,完璧
かんべん,勘弁
かんむり,冠
かんむりょう,感無量
かんゆう,勧誘
かんよ,関与
かんよう,慣用
かんよう,寛容
がんらい,元来
かんらん,観覧
かんり,管理
かんりょう,完了
かんりょう,官僚
かんれい,慣例
かんれき,還暦
かんれん,関連
かんろく,貫禄
かんわ,漢和
かんわ,緩和
き,木
き,気
きあつ,気圧
ぎあん,議案
きいろ,黄色
きいろい,黄色い
ぎいん,議員
きえる,消える
きおく,記憶
きおん,気温
きかい,機会
きかい,機械,器械
きがい,危害
